Rank,Country,2016 EPI Score,10-Year Percent Change,Environmental Health,Ecosystem Vitality,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy,Environmental Risk Exposure,Household Air Quality,Household Air Quality - Risk Exposure,Air Pollution - Average Exposure to PM2.5,Air Pollution - Average Exposure to PM2.5 - Risk Exposure,Air Pollution - Average PM2.5 Exceedance,Air Pollution - Average Exposure to NO2,Access to Sanitation,Unsafe Sanitation- Risk Exposure,Access to Drinking Water,Unsafe Drinking Water Quality -Risk Exposure,Wastewater Treatment,Nitrogen Use Efficiency,Nitrogen Balance,Tree Cover Loss,Fish Stocks,Terrestrial Protected Areas (National Biome Weights),Terrestrial Protected Areas (Global Biome Weights),Marine Protected Areas,Species Protection (National),Species Protection (Global),Trend in Carbon Intensity,Trend in CO2 Emissions per KwH,Access to Electricity
68,Belize,73.55,16.34,83.39,63.71,77.39,95.02,77.76,50.22,77.72,28.86,29.45,99.03,NA,77.39,89.81,80.42,100,99.35,99.39,97.67,83.64,73.05,97.94,56.43,50.22,70.29,100,28.86,29.45,100,100,99.33,96.43,99.4,NA,100,100
69,Kazakhstan,73.29,25.8,88.42,58.15,93.72,89.66,81.87,74.79,NA,NA,NA,53.45,60.32,93.72,92.46,84.97,100,77.57,95.63,77.18,94.01,70.97,77.39,85.13,74.79,NA,NA,NA,NA,53.13,54.26,NA,54.92,51.49,58.79,64.9,100
70,Dominica,73.25,18.43,86.53,59.98,89.16,92.44,77.98,51.95,65.49,NA,33.14,81.02,NA,89.16,95,84.56,100,70.06,100,100,76.08,71.81,81.41,82.63,51.95,53.99,100,NA,33.14,86.74,87.97,41.88,90.93,97.6,NA,100,92.39
71,Kyrgyz Republic,73.13,23.53,77.73,68.54,73.76,84.79,74.63,58.09,100,NA,NA,79.8,58.36,73.76,84.09,75.57,100,57.67,94.35,88.83,88.19,58.1,71.44,80.8,58.09,100,100,NA,NA,82.02,84.88,NA,72.96,79.34,44.48,100,100
72,Tajikistan,73.05,16.82,71.41,74.7,69.96,74,70.28,49.33,89.97,NA,NA,74.2,99.24,69.96,83.33,74.65,92.09,55.34,65.05,86.74,90.25,55.86,47.42,87.57,49.33,86.62,100,NA,NA,78.4,80.07,NA,67.67,70.66,98.98,100,100
73,Peru,72.95,21.89,78.39,67.51,77.71,83.8,73.66,79.88,78.67,75.96,49.04,84.59,33.92,77.71,80.18,76.93,100,83.91,85.42,70.18,72.09,68.81,65.47,88.26,79.88,71.56,100,75.96,49.04,93.4,92.5,73.66,83.05,80.32,36.42,26.44,91.44
74,Jordan,72.24,30.09,76.67,67.81,64.39,75.97,89.65,76.7,75.74,NA,NA,42.94,85.38,64.39,95,98.56,87.82,45.62,67.04,68.12,96.58,97.68,88.9,75.46,76.7,67.65,100,NA,NA,39.72,37.86,NA,46.46,47.74,84.57,87.83,98.28
75,Guyana,71.14,19.62,83.53,58.76,75.76,95.72,79.1,38.54,88.16,97.11,40.1,51.31,NA,75.76,94.37,86.17,100,92.19,100,98.14,78.81,68.37,94.15,75.07,38.54,84.21,100,97.11,40.1,70.17,69.78,0,59.17,57.45,NA,100,86.45
76,Bolivia,71.09,20.02,78.91,63.26,74.77,90.09,71.87,54.38,95.99,49.68,NA,90.06,37.25,74.77,84.84,78.26,100,87.91,93.69,93.35,60.98,69.25,71.44,85.83,54.38,94.66,100,49.68,NA,95.79,95.19,NA,84.54,84.73,16.33,100,89.98
77,Mauritius,70.85,8.75,94.56,47.13,95.57,95.41,92.72,58.09,28.44,NA,34.95,55.45,NA,95.57,95,90.82,100,86.69,100,95.29,87.6,92.34,99.59,91.33,58.09,37.92,0,NA,34.95,60.89,60.42,28.18,63.01,64.74,49.96,100,100
78,Namibia,70.84,28.82,69.72,71.96,58.19,88.58,62.4,63.38,80.05,NA,41.03,95.74,61.18,58.19,67.08,67.76,100,92.49,100,94.81,51.98,63.26,73.12,61.26,63.38,73.4,100,NA,41.03,100,100,88.21,94.98,95.52,48.24,100,71.53
79,Botswana,70.72,19.22,72.37,69.07,58.63,90.16,68.32,41.04,73.62,NA,NA,93.75,75.67,58.63,78.52,73.71,100,87.61,100,91.87,67.33,58.64,87.08,60.23,41.04,64.83,100,NA,NA,100,100,NA,83.35,91.66,67.57,100,73.59
80,South Korea,70.61,6.01,68.85,72.37,65.93,45.51,95.11,93.15,57.8,74.42,58.47,69.34,62.39,65.93,95,100,28.94,37.98,20.76,0,100,100,80.43,100,93.15,76.32,2.27,74.42,58.47,67.41,67,82.13,65,65.16,67.03,48.47,100
81,South Africa,70.52,15.19,76.66,64.38,69.25,88.84,71.9,79.44,93.4,0,56.95,75.06,54.26,69.25,90.48,79.99,100,78.54,99.39,66.71,68.97,71.39,78.41,68.81,79.44,91.2,100,0,56.95,64.05,67.81,100,74.3,69.15,55.38,50.92,87.48
82,Paraguay,70.36,17.01,81.14,59.58,73.42,87.59,82.41,39.82,100,0,NA,78.94,68.1,73.42,74.1,72.76,100,78.22,100,88.31,82.07,74.67,92.86,80.06,39.82,100,100,0,NA,88.58,87.05,NA,66.92,73.22,57.46,100,96.96
83,Algeria,70.28,3.69,76.07,64.5,67.06,89.04,72.11,82.49,76.34,NA,66.51,61.62,43.6,67.06,95,94.19,100,57.21,96.9,80.13,81.43,84.42,62.89,59.71,82.49,100,5.34,NA,66.51,65.76,68.21,50.2,59.61,64.32,26.65,94.43,100
